Diabetes,Gender,Smoking,Age,SBP,Cholesterol,Risk,Risk Level
No,Female,Yes,40,140,5,Green,<10%
No,Female,Yes,40,140,6,Green,<10%
No,Female,Yes,40,140,7,yellow,10% to <20%
No,Female,Yes,40,140,8,Red,>40%
No,Female,Yes,40,160,4,Green,<10%
No,Female,Yes,40,160,5,yellow,10% to <20%
No,Female,Yes,40,160,6,Orange,20% to <30%
No,Female,Yes,40,160,7,Red,>40%
No,Female,Yes,40,160,8,Red,>40%
No,Female,Yes,40,180,4,Red-Orange,30% to <40%
No,Female,Yes,40,180,5,Red,>40%
No,Female,Yes,40,180,6,Red,>40%
No,Female,Yes,40,180,7,Red,>40%
No,Female,Yes,40,180,8,Red,>40%
